"symbol","name","price"
"AAVGOC.BA","BROADCOM INC CEDEAR EACH 39 REP","8.58"
"AAVGOD.BA","Broadcom Inc.","8.79"
"AAVYD.BA","Avery Dennison Corporation","11.02"
"AAXIA.BA","Axia Energia","66,025.00"
"AAXPD.BA","American Express Company","23.40"
"AAZND.BA","AstraZeneca PLC","50.80"
"BB-C.BA","BARRICK GOLD CORPORATION CEDEAR","23.00"
"BB-D.BA","BARRICK GOLD CORPORATION CEDEAR","24.86"
"BB.BA","Barrick Mining Corporation","35,240.00"
"BBA-C.BA","Bank of America Corp","19,220.00"
"BBA-CC.BA","BANK OF AMERICA CORPORATION CED","13.07"
"BBA-CD.BA","BANK OF AMERICA CORPORATION CED","13.55"
"BBABAC.BA","ALIBABA GROUP HOLDING LTD CEDEA","17.45"
"BBABAD.BA","Alibaba Group Holding Limited","17.84"
"BBAC.BA","BOEING CO CEDEAR EACH 6 REP 1","9.89"
"BBACGC.BA","--","103.95"
"BBACGD.BA","--","107.70"
"BBACGO.BA","--","153,540.00"
"BBACHC.BA","--","102.30"
"BBACHD.BA","--","105.60"
"BBACHO.BA","--","151,000.00"
"BBAD.BA","The Boeing Company","10.44"
"BBAF27.BA","--","96.00"
"BBAKD.BA","Braskem S.A.","1.99"
"BBB-D.BA","BLACKBERRY LTD CEDEAR(REPR 1/3","1.16"
"BBB.BA","BlackBerry Limited","1,691.00"
"BBBARD.BA","BANCO BBVA ARGENTINA S A","5.59"
"BBBAS3.BA","Banco do Brasil S.A.","3,520.00"
"BBBDC.BA","BANCO BRADESCO SA CEDEAR EACH R","4.09"
"BBBDD.BA","Banco Bradesco S.A.","4.12"
"BBBVD.BA","Banco Bilbao Vizcaya Argentaria, S.A.","24.29"
"BBC33D.BA","--","108.40"
"BBDC33.BA","--","152,600.00"
"BBF35D.BA","--","101.70"
"BBF37D.BA","--","103.00"
"BBGC4D.BA","--","101.75"
"BBGC4O.BA","--","143,800.00"
"BBHIPD.BA","BANCO HIPOTECAIRO SA","0.32"
"BBHPD.BA","BHP GROUP LTD CEDEAR EACH REPR","37.44"
"BBIDUC.BA","BAIDU INC CEDEAR EACH REPR 1 AD","12.90"
"BBIDUD.BA","Baidu, Inc.","12.94"
"BBIIBD.BA","Biogen Inc.","15.53"
"BBIOXC.BA","BIOCERES CROP SOLUTIONS CORP CE","0.60"
"BBIOXD.BA","Bioceres Crop Solutions Corp.","0.62"
"BBITF.BA","Bitfarms Ltd.","15,950.00"
"BBITFD.BA","Bitfarms Ltd.","11.16"
"BBKD.BA","The Bank of New York Mellon Corporation","61.00"
"BBKNG.BA","BOOKING HOLDINGS INC CEDEAR EAC","9,050.00"
"BBKNGD.BA","BOOKING HOLDINGS INC CEDEAR EAC","6.30"
"BBMA-C.BA","BANCO MACRO S.A.","9.00"
"BBMA-D.BA","BANCO MACRO S.A.","9.04"
"BBMNR.BA","Bitmine Immersion Technologies, Inc.","3,875.00"
"BBMNRD.BA","BANCO COMAFI S.A. CEDEAR EACH 8","3.11"
"BBMYD.BA","Bristol-Myers Squibb Company","21.21"
"BBPA8C.BA","--","88.00"
"BBPA8D.BA","--","90.70"
"BBPB8C.BA","--","87.00"
"BBPB8D.BA","--","90.26"
"BBPD.BA","BP p.l.c.","7.84"
"BBPOA8.BA","--","128,990.00"
"BBPOB8.BA","--","128,110.00"
"BBRKBC.BA","BERKSHIRE HATHAWAY INC CEDEAR E","22.76"
"BBRKBD.BA","BERKSHIRE HATHAWAY INC CEDEAR E","23.55"
"BBX.BA","Blackstone Inc.","6,375.00"
"BBYCVD.BA","--","104.30"
"BBYCXD.BA","--","101.60"
"BBYMAC.BA","BOLSAS Y MERCADOS ARGENTINOS SA","0.22"
"BBYMAD.BA","Bolsas y Mercados Argentinos S.A.","0.22"
"CC-D.BA","CITIGROUP INC CEDEAR EA RE COM(","38.13"
"CCAAPD.BA","Corporación América Airports S.A.","115.00"
"CCACDD.BA","--","101.95"
"CCACDO.BA","--","150,990.00"
"CCAHD.BA","Cardinal Health, Inc.","78.90"
